#Gene with GO attribute	Gene weight
C1ORF86	1
C1ORF87	1
C1ORF94	1
C1ORF95	1
C1QA	1
C1QB	1
C1QBP	1
C1QC	1
C1QL1	1
C1QL2	1
C1QL3	1
C1QL4	1
C1QTNF1	1
C1QTNF2	1
C1QTNF3	1
C1QTNF4	1
C1QTNF5	1
C1QTNF6	1
C1QTNF7	1
C1QTNF8	1
C1QTNF9	1
C1QTNF9B	1
C1RL	1
C1S	1
C2	1
C20ORF112	1
C20ORF141	1
C20ORF195	1
C21ORF2	1
C21ORF59	1
C21ORF67	1
C22ORF24	1
C22ORF29	1
C22ORF46	1
C2CD2	1
C2CD2L	1
C2CD3	1
C2CD4A	1
C2CD4B	1
C2CD5	1
C2ORF16	1
C2ORF40	1
C2ORF47	1
C2ORF49	1
C2ORF62	1
C2ORF66	1
C2ORF69	1
C2ORF70	1
C2ORF71	1
C2ORF74	1
C2ORF82	1
C2ORF83	1
C2ORF88	1
C3	1
C3AR1	1
C3ORF17	1
C3ORF18	1
C3ORF20	1
C3ORF33	1
C3ORF35	1
C3ORF38	1
C3ORF52	1
C3ORF58	1
C3ORF80	1
C4A	1
C4B	1
C4BPA	1
C4BPB	1
C4ORF21	1
C4ORF26	1
C4ORF27	1
C4ORF29	1
C4ORF3	1
C4ORF32	1
C4ORF40	1
C4ORF48	1
C4ORF6	1
C5	1
C5AR1	1
C5AR2	1
C5ORF15	1
C5ORF20	1
C5ORF28	1
C5ORF30	1
C5ORF38	1
C5ORF42	1
C5ORF46	1
C5ORF50	1
C5ORF54	1
C5ORF55	1
C5ORF60	1
C5ORF63	1
C5ORF64	1
C6	1
C6ORF1	1
C6ORF10	1
C6ORF120	1
C6ORF136	1
C6ORF15	1
C6ORF203	1
C6ORF25	1
C6ORF47	1
C6ORF57	1
C6ORF58	1
C6ORF62	1
C6ORF89	1
C7	1
C7ORF10	1
C7ORF13	1
C7ORF34	1
C7ORF41	1
C7ORF49	1
C7ORF50	1
C7ORF55	1
C7ORF55-LUC7L2	1
C7ORF60	1
C7ORF61	1
C7ORF66	1
C7ORF69	1
C7ORF73	1
C8A	1
C8B	1
C8G	1
C8ORF17	1
C8ORF22	1
C8ORF37	1
C8ORF4	1
C8ORF44	1
C8ORF44-SGK3	1
C8ORF48	1
C8ORF74	1
C8ORF82	1
C9	1
C9ORF114	1
C9ORF135	1
C9ORF142	1
C9ORF156	1
C9ORF169	1
C9ORF24	1
C9ORF3	1
C9ORF47	1
C9ORF57	1
C9ORF69	1
C9ORF72	1
C9ORF78	1
C9ORF89	1
C9ORF9	1
C9ORF91	1
C9ORF96	1
CA1	1
CA10	1
CA11	1
CA12	1
CA13	1
CA14	1
CA2	1
CA3	1
CA4	1
CA5A	1
CA5B	1
CA6	1
CA7	1
CA8	1
CA9	1
CAAP1	1
CAB39	1
CAB39L	1
CABIN1	1
CABLES1	1
CABLES2	1
CABP1	1
CABP2	1
CABP4	1
CABP5	1
CABP7	1
CABS1	1
CABYR	1
CACFD1	1
CACHD1	1
CACNA1A	1
CACNA1B	1
CACNA1C	1
CACNA1D	1
CACNA1E	1
CACNA1F	1
CACNA1G	1
CACNA1H	1
CACNA1I	1
CACNA1S	1
CACNA2D1	1
CACNA2D2	1
CACNA2D3	1
CACNA2D4	1
CACNB1	1
CACNB2	1
CACNB3	1
CACNB4	1
CACNG1	1
CACNG2	1
CACNG3	1
CACNG4	1
CACNG5	1
CACNG6	1
CACNG7	1
CACNG8	1
CACTIN	1
CACUL1	1
CACYBP	1
CAD	1
CADM1	1
CADM2	1
CADM3	1
CADM4	1
CADPS	1
CADPS2	1
CALB1	1
CALB2	1
CALCA	1
CALCB	1
CALCOCO1	1
CALCOCO2	1
CALCR	1
CALCRL	1
CALD1	1
CALHM1	1
CALHM2	1
CALHM3	1
CALM1	1
CALM2	1
CALM3	1
CALML3	1
CALML4	1
CALML5	1
CALML6	1
CALN1	1
CALR	1
CALR3	1
CALU	1
CALY	1
CAMK1	1
CAMK1D	1
CAMK1G	1
CAMK2A	1
CAMK2B	1
CAMK2D	1
CAMK2G	1
CAMK2N1	1
CAMK2N2	1
CAMK4	1
CAMKK1	1
CAMKK2	1
CAMKMT	1
CAMKV	1
CAMLG	1
CAMP	1
CAMSAP1	1
CAMSAP2	1
CAMSAP3	1
CAMTA1	1
CAMTA2	1
CAND1	1
CAND2	1
CANT1	1
CANX	1
CAP1	1
CAP2	1
CAPG	1
CAPN1	1
CAPN10	1
CAPN11	1
CAPN12	1
CAPN13	1
CAPN14	1
CAPN15	1
CAPN2	1
CAPN3	1
CAPN5	1
CAPN6	1
CAPN7	1
CAPN8	1
CAPN9	1
CAPNS1	1
CAPNS2	1
CAPRIN1	1
CAPRIN2	1
CAPS	1
CAPS2	1
CAPSL	1
CAPZA1	1
CAPZA2	1
CAPZA3	1
CAPZB	1
CARD10	1
CARD11	1
CARD14	1
CARD16	1
CARD17	1
CARD18	1
CARD6	1
CARD8	1
CARD9	1
CARF	1
CARHSP1	1
CARKD	1
CARM1	1
CARNS1	1
CARS	1
CARS2	1
CARTPT	1
CASC3	1
CASC4	1
CASC5	1
CASD1	1
CASK	1
CASKIN1	1
CASKIN2	1
CASP1	1
CASP10	1
CASP12	1
CASP14	1
CASP16	1
CASP2	1
CASP3	1
CASP4	1
CASP5	1
CASP6	1
CASP7	1
CASP8	1
CASP9	1
CASQ1	1
CASQ2	1
CASR	1
CASS4	1
CAST	1
CASZ1	1
CAT	1
CATSPER1	1
CATSPER2	1
CATSPER3	1
CATSPER4	1
CATSPERB	1
CATSPERD	1
CATSPERG	1
CAV1	1
CAV2	1
CAV3	1
CBFA2T2	1
CBFA2T3	1
CBFB	1
CBL	1
CBLB	1
CBLC	1
CBLL1	1
CBLN1	1
CBLN2	1
CBLN3	1
CBLN4	1
CBR1	1
CBR3	1
CBR4	1
CBS	1
CBWD1	1
CBWD2	1
CBWD3	1
CBWD5	1
CBWD6	1
CBWD7	1
CBX1	1
CBX2	1
CBX3	1
CBX4	1
CBX5	1
CBX6	1
CBX7	1
CBX8	1
CBY1	1
CC2D1A	1
CC2D1B	1
CC2D2A	1
CCAR1	1
CCAR2	1
CCBE1	1
CCBL1	1
CCBL2	1
CCDC101	1
CCDC103	1
CCDC105	1
CCDC106	1
CCDC107	1
CCDC108	1
CCDC109B	1
CCDC110	1
CCDC113	1
CCDC114	1
CCDC115	1
CCDC12	1
CCDC124	1
CCDC125	1
CCDC126	1
CCDC129	1
CCDC130	1
CCDC132	1
CCDC134	1
CCDC135	1
CCDC136	1
CCDC137	1
CCDC14	1
CCDC141	1
CCDC147	1
CCDC15	1
CCDC151	1
CCDC154	1
CCDC155	1
CCDC167	1
CCDC174	1
CCDC176	1
CCDC180	1
CCDC181	1
CCDC19	1
CCDC23	1
CCDC25	1
CCDC28B	1
CCDC3	1
CCDC30	1
CCDC33	1
CCDC39	1
CCDC40	1
CCDC41	1
CCDC47	1
CCDC50	1
CCDC51	1
CCDC53	1
CCDC58	1
CCDC59	1
CCDC6	1
CCDC61	1
CCDC62	1
CCDC64	1
CCDC64B	1
CCDC66	1
CCDC67	1
CCDC70	1
CCDC77	1
CCDC78	1
CCDC79	1
CCDC8	1
CCDC80	1
CCDC85B	1
CCDC85C	1
CCDC86	1
CCDC87	1
CCDC88A	1
CCDC88C	1
CCDC89	1
CCDC9	1
CCDC90B	1
CCDC91	1
CCDC92	1
CCHCR1	1
CCIN	1
CCK	1
CCKAR	1
CCKBR	1
CCL1	1
CCL11	1
CCL13	1
CCL14	1
CCL15	1
CCL16	1
CCL17	1
CCL18	1
CCL19	1
CCL2	1
CCL20	1
CCL21	1
CCL22	1
CCL23	1
CCL24	1
CCL25	1
CCL26	1
CCL27	1
CCL28	1
CCL3	1
CCL3L1	1
CCL3L3	1
CCL4	1
CCL4L1	1
CCL4L2	1
CCL5	1
CCL7	1
CCL8	1
CCM2	1
CCNA1	1
CCNA2	1
CCNB1	1
CCNB1IP1	1
CCNB2	1
CCNB3	1
CCNC	1
CCND1	1
CCND2	1
CCND3	1
CCNDBP1	1
CCNE1	1
CCNE2	1
CCNF	1
CCNG1	1
CCNG2	1
CCNH	1
CCNI	1
CCNI2	1
CCNJ	1
CCNJL	1
CCNK	1
CCNL1	1
CCNL2	1
CCNO	1
CCNT1	1
CCNT2	1
CCNY	1
CCNYL1	1
CCP110	1
CCPG1	1
CCR1	1
CCR10	1
CCR2	1
CCR3	1
CCR4	1
CCR5	1
CCR6	1
CCR7	1
CCR8	1
CCR9	1
CCRL2	1
CCRN4L	1
CCS	1
CCSAP	1
CCSER2	1
CCT2	1
CCT3	1
CCT4	1
CCT5	1
CCT6A	1
CCT6B	1
CCT7	1
CCT8	1
CCT8L2	1
CCZ1	1
CCZ1B	1
CD101	1
CD109	1
CD14	1
CD151	1
CD160	1
CD163	1
CD163L1	1
CD164	1
CD164L2	1
CD177	1
CD180	1
CD19	1
CD1A	1
CD1B	1
CD1C	1
CD1D	1
CD1E	1
CD2	1
CD200	1
CD200R1	1
CD200R1L	1
CD207	1
CD209	1
CD22	1
CD226	1
CD244	1
CD247	1
CD248	1
CD27	1
CD274	1
CD276	1
CD28	1
CD2AP	1
CD2BP2	1
CD300A	1
CD300C	1
CD300E	1
CD300LB	1
CD300LD	1
CD300LF	1
CD300LG	1
CD302	1
CD320	1
CD33	1
CD34	1
CD36	1
CD37	1
CD38	1
CD3D	1
CD3E	1
CD3EAP	1
CD3G	1
CD4	1
CD40	1
CD40LG	1
CD44	1
CD46	1
CD47	1
CD48	1
CD5	1
CD52	1
CD53	1
CD55	1
CD58	1
CD59	1
CD5L	1
CD6	1
CD63	1
CD68	1
CD69	1
CD7	1
CD70	1
CD72	1
CD74	1
CD79A	1
CD79B	1
CD80	1
CD81	1
CD82	1
CD83	1
CD84	1
CD86	1
CD8A	1
CD8B	1
CD9	1
CD93	1
CD96	1
CD97	1
CD99	1
CD99L2	1
CDA	1
CDADC1	1
CDAN1	1
CDC123	1
CDC14A	1
CDC14B	1
CDC16	1
CDC20	1
CDC23	1
CDC25A	1
CDC25B	1
CDC25C	1
CDC26	1
CDC27	1
CDC34	1
CDC37	1
CDC37L1	1
CDC40	1
CDC42	1
CDC42BPA	1
CDC42BPB	1
CDC42BPG	1
CDC42EP1	1
CDC42EP2	1
CDC42EP3	1
CDC42EP4	1
CDC42EP5	1
CDC42SE1	1
CDC42SE2	1
CDC45	1
CDC5L	1
CDC6	1
CDC7	1
CDC73	1
CDCA2	1
CDCA3	1
CDCA4	1
CDCA5	1
CDCA7	1
CDCA7L	1
CDCA8	1
CDCP1	1
CDCP2	1
CDH1	1
CDH10	1
CDH11	1
CDH12	1
CDH13	1
CDH15	1
CDH16	1
CDH17	1
CDH18	1
CDH19	1
CDH2	1
CDH20	1
CDH22	1
CDH23	1
CDH24	1
CDH26	1
CDH3	1
CDH4	1
CDH5	1
CDH6	1
CDH7	1
CDH8	1
CDH9	1
CDHR1	1
CDHR2	1
CDHR3	1
CDHR4	1
CDHR5	1
CDIP1	1
CDIPT	1
CDK1	1
CDK10	1
CDK11A	1
CDK12	1
CDK13	1
CDK14	1
CDK15	1
CDK16	1
CDK17	1
CDK18	1
CDK19	1
CDK2	1
CDK20	1
CDK2AP1	1
CDK3	1
CDK4	1
CDK5	1
CDK5R1	1
CDK5R2	1
CDK5RAP1	1
CDK5RAP2	1
CDK5RAP3	1
CDK6	1
CDK7	1
CDK8	1
CDK9	1
CDKAL1	1
CDKL1	1
CDKL2	1
CDKL3	1
CDKL4	1
CDKL5	1
CDKN1A	1
CDKN1B	1
CDKN1C	1
CDKN2A	1
CDKN2AIP	1
CDKN2B	1
CDKN2C	1
CDKN2D	1
CDKN3	1
CDNF	1
CDO1	1
CDON	1
CDR2	1
CDRT15L2	1
CDS1	1
CDS2	1
CDSN	1
CDT1	1
CDV3	1
CDX1	1
CDX2	1
CDX4	1
CDY1	1
CDY1B	1
CDY2A	1
CDY2B	1
CDYL	1
CDYL2	1
CEACAM1	1
CEACAM16	1
CEACAM19	1
CEACAM21	1
CEACAM3	1
CEACAM4	1
CEACAM5	1
CEACAM6	1
CEACAM7	1
CEACAM8	1
CEBPA	1
CEBPB	1
CEBPD	1
CEBPE	1
CEBPG	1
CEBPZ	1
CECR1	1
CECR2	1
CECR5	1
CEL	1
CELA1	1
CELA2A	1
CELA2B	1
CELA3A	1
CELA3B	1
CELF1	1
CELF2	1
CELF3	1
CELF4	1
CELF5	1
CELF6	1
CELSR1	1
CELSR2	1
CELSR3	1
CEMP1	1
CEND1	1
CENPA	1
CENPB	1
CENPBD1	1
CENPC	1
CENPE	1
CENPF	1
CENPH	1
CENPI	1
CENPJ	1
CENPK	1
CENPL	1
CENPM	1
CENPN	1
CENPO	1
CENPP	1
CENPQ	1
CENPT	1
CENPV	1
CENPW	1
CEP104	1
CEP112	1
CEP120	1
CEP128	1
CEP135	1
CEP152	1
CEP164	1
CEP170	1
CEP170B	1
CEP19	1
CEP192	1
CEP250	1
CEP290	1
CEP350	1
CEP41	1
CEP44	1
CEP55	1
CEP57	1
CEP57L1	1
CEP63	1
CEP68	1
CEP70	1
CEP72	1
CEP76	1
CEP78	1
CEP85	1
CEP85L	1
CEP89	1
CEP95	1
CEP97	1
CEPT1	1
CER1	1
CERCAM	1
CERK	1
CERKL	1
CERS1	1
CERS2	1
CERS3	1
CERS4	1
CERS5	1
CERS6	1
CES1	1
CES2	1
CES3	1
CES4A	1
CES5A	1
CETN1	1
CETN2	1
CETN3	1
CETP	1
CFB	1
CFC1	1
CFC1B	1
CFD	1
CFDP1	1
CFH	1
CFHR1	1
CFHR2	1
CFHR3	1
CFHR4	1
CFHR5	1
CFI	1
CFL1	1
CFL2	1
CFLAR	1
CFP	1
CFTR	1
CGA	1
CGB	1
CGB1	1
CGB5	1
CGB7	1
CGB8	1
CGGBP1	1
CGN	1
CGNL1	1
CGREF1	1
CGRRF1	1
CH25H	1
CHAC1	1
CHAD	1
CHADL	1
CHAF1A	1
CHAF1B	1
CHAMP1	1
CHAT	1
CHCHD1	1
CHCHD10	1
CHCHD2	1
CHCHD3	1
CHCHD4	1
CHCHD5	1
CHCHD6	1
CHCHD7	1
CHD1	1
CHD1L	1
CHD2	1
CHD3	1
CHD4	1
CHD5	1
CHD6	1
CHD7	1
CHD8	1
CHD9	1
CHDC2	1
CHDH	1
CHEK1	1
CHEK2	1
CHERP	1
CHFR	1
CHGA	1
CHGB	1
CHI3L1	1
CHI3L2	1
CHIA	1
CHIC1	1
CHIC2	1
CHID1	1
CHIT1	1
CHKA	1
CHKB	1
CHL1	1
CHM	1
CHML	1
CHMP1A	1
CHMP1B	1
CHMP2A	1
CHMP2B	1
CHMP3	1
CHMP4A	1
CHMP4B	1
CHMP4C	1
CHMP5	1
CHMP6	1
CHMP7	1
CHN1	1
CHN2	1
CHODL	1
CHORDC1	1
CHP1	1
CHP2	1
CHPF	1
CHPF2	1
CHPT1	1
CHRAC1	1
CHRD	1
CHRDL1	1
CHRDL2	1
CHRFAM7A	1
CHRM1	1
CHRM2	1
CHRM3	1
CHRM4	1
CHRM5	1
CHRNA1	1
CHRNA10	1
CHRNA2	1
CHRNA3	1
CHRNA4	1
CHRNA5	1
CHRNA6	1
CHRNA7	1
CHRNA9	1
CHRNB1	1
CHRNB2	1
CHRNB3	1
CHRNB4	1
CHRND	1
CHRNE	1
CHRNG	1
CHST1	1
CHST10	1
CHST11	1
CHST12	1
CHST13	1
CHST14	1
CHST15	1
CHST2	1
CHST3	1
CHST4	1
CHST5	1
CHST6	1
CHST7	1
CHST8	1
CHST9	1
CHSY1	1
CHSY3	1
CHTF18	1
CHTF8	1
CHTOP	1
CHUK	1
CHURC1	1
CIAO1	1
CIAPIN1	1
CIB1	1
CIB2	1
CIB3	1
CIB4	1
CIC	1
CIDEA	1
CIDEB	1
CIDEC	1
CIITA	1
CILP	1
CILP2	1
CINP	1
CIR1	1
CIRBP	1
CIRH1A	1
CISD1	1
CISD2	1
CISD3	1
CISH	1
CIT	1
CITED1	1
CITED2	1
CITED4	1
CIZ1	1
CKAP2	1
CKAP2L	1
CKAP4	1
CKAP5	1
CKB	1
CKLF	1
CKM	1
CKMT1A	1
CKMT1B	1
CKMT2	1
CKS1B	1
CKS2	1
CLASP1	1
CLASP2	1
CLASRP	1
CLC	1
CLCA1	1
CLCA2	1
CLCA4	1
CLCC1	1
CLCF1	1
CLCN1	1
CLCN2	1
CLCN3	1
CLCN4	1
CLCN5	1
CLCN6	1
CLCN7	1
CLCNKA	1
CLCNKB	1
CLDN1	1
CLDN10	1
CLDN11	1
CLDN12	1
CLDN14	1
CLDN15	1
CLDN16	1
CLDN17	1
CLDN18	1
CLDN19	1
CLDN2	1
CLDN20	1
CLDN22	1
CLDN23	1
CLDN24	1
CLDN25	1
CLDN3	1
CLDN4	1
CLDN5	1
CLDN6	1
CLDN7	1
CLDN8	1
CLDN9	1
CLDND1	1
CLDND2	1
CLEC10A	1
CLEC11A	1
CLEC12A	1
CLEC12B	1
CLEC14A	1
CLEC17A	1
CLEC18A	1
CLEC18B	1
CLEC18C	1
CLEC19A	1
CLEC1A	1
CLEC1B	1
CLEC2A	1
CLEC2B	1
CLEC2D	1
CLEC2L	1
CLEC3A	1
CLEC3B	1
CLEC4A	1
CLEC4C	1
CLEC4D	1
CLEC4E	1
CLEC4F	1
CLEC4G	1
CLEC4M	1
CLEC5A	1
CLEC6A	1
CLEC7A	1
CLEC9A	1
CLECL1	1
CLGN	1
CLIC1	1
CLIC2	1
CLIC3	1
CLIC4	1
CLIC5	1
CLIC6	1
CLINT1	1
CLIP1	1
CLIP2	1
CLIP3	1
CLK1	1
CLK2	1
CLK3	1
CLK4	1
CLLU1	1
CLMN	1
CLMP	1
CLN3	1
CLN5	1
CLN6	1
CLN8	1
CLNK	1
CLNS1A	1
CLOCK	1
CLP1	1
CLPB	1
CLPP	1
CLPS	1
CLPSL1	1
CLPSL2	1
CLPTM1	1
CLPTM1L	1
CLPX	1
CLRN1	1
CLRN2	1
CLRN3	1
CLSPN	1
CLSTN1	1
CLSTN2	1
CLSTN3	1
CLTA	1
CLTB	1
CLTC	1
CLTCL1	1
CLU	1
CLUAP1	1
CLUH	1
CLUL1	1
CLVS1	1
CLVS2	1
CLYBL	1
CMA1	1
CMAS	1
CMBL	1
CMC1	1
CMC2	1
CMC4	1
CMIP	1
CMKLR1	1
CMPK1	1
CMPK2	1
CMSS1	1
CMTM1	1
CMTM2	1
CMTM3	1
CMTM4	1
CMTM5	1
CMTM6	1
CMTM7	1
CMTM8	1
CMTR1	1
CMTR2	1
CMYA5	1
CNBP	1
CNDP1	1
CNDP2	1
CNEP1R1	1
CNFN	1
CNGA1	1
CNGA2	1
CNGA3	1
CNGA4	1
CNGB1	1
CNGB3	1
CNIH1	1
CNIH2	1
CNIH3	1
CNIH4	1
CNKSR1	1
CNKSR2	1
CNKSR3	1
CNN1	1
CNN2	1
CNN3	1
CNNM1	1
CNNM2	1
CNNM3	1
CNNM4	1
CNOT1	1
CNOT10	1
CNOT11	1
CNOT2	1
CNOT3	1
CNOT4	1
CNOT6	1
CNOT6L	1
CNOT7	1
CNOT8	1
CNP	1
CNPPD1	1
CNPY2	1
CNPY3	1
CNPY4	1
CNR1	1
CNR2	1
CNST	1
CNTD2	1
CNTF	1
CNTFR	1
CNTLN	1
CNTN1	1
CNTN2	1
CNTN3	1
CNTN4	1
CNTN5	1
CNTN6	1
CNTNAP1	1
CNTNAP2	1
CNTNAP3	1
CNTNAP3B	1
CNTNAP4	1
CNTNAP5	1
CNTRL	1
CNTROB	1
COA1	1
COA3	1
COA4	1
COA5	1
COA6	1
COASY	1
COBL	1
COBLL1	1
COCH	1
COG1	1
COG2	1
COG3	1
COG4	1
COG5	1
COG6	1
COG7	1
COG8	1
COIL	1
COL10A1	1
COL11A1	1
COL11A2	1
COL12A1	1
COL13A1	1
COL14A1	1
COL15A1	1
COL16A1	1
COL17A1	1
COL18A1	1
COL19A1	1
COL1A1	1
COL1A2	1
COL20A1	1
COL21A1	1
COL22A1	1
COL23A1	1
COL24A1	1
COL25A1	1
COL26A1	1
COL27A1	1
COL28A1	1
COL2A1	1
COL3A1	1
COL4A1	1
COL4A2	1
COL4A3	1
COL4A3BP	1
COL4A4	1
COL4A5	1
COL4A6	1
COL5A1	1
COL5A2	1
COL5A3	1
COL6A1	1
COL6A2	1
COL6A3	1
COL6A5	1
COL6A6	1
COL7A1	1
COL8A1	1
COL8A2	1
COL9A1	1
COL9A2	1
COL9A3	1
COLCA1	1
COLEC10	1
COLEC11	1
COLEC12	1
COLGALT1	1
COLGALT2	1
COLQ	1
COMMD1	1
COMMD10	1
COMMD2	1
COMMD3	1
COMMD4	1
COMMD5	1
COMMD6	1
COMMD7	1
COMMD8	1
COMP	1
COMT	1
COMTD1	1
COPA	1
COPB1	1
COPB2	1
COPE	1
COPG1	1
COPG2	1
COPRS	1
COPS2	1
COPS3	1
COPS4	1
COPS5	1
COPS6	1
COPS7A	1
COPS7B	1
COPS8	1
COPZ1	1
COPZ2	1
COQ10A	1
COQ10B	1
COQ2	1
COQ3	1
COQ4	1
COQ5	1
COQ6	1
COQ7	1
COQ9	1
CORIN	1
CORO1A	1
CORO1B	1
CORO1C	1
CORO2A	1
CORO2B	1
CORO7	1
CORT	1
COTL1	1
COX10	1
COX11	1
COX14	1
COX15	1
COX16	1
COX17	1
COX18	1
COX19	1
COX20	1
COX4I1	1
COX4I2	1
COX5A	1
COX5B	1
COX6A1	1
COX6A2	1
COX6B1	1
COX6B2	1
COX6C	1
COX7A1	1
COX7A2	1
COX7A2L	1
COX7B	1
COX7B2	1
COX7C	1
COX8A	1
COX8C	1
CP	1
CPA1	1
CPA2	1
CPA3	1
CPA4	1
CPA5	1
CPA6	1
CPAMD8	1
CPB1	1
CPB2	1
CPD	1
CPE	1
CPEB1	1
CPEB2	1
CPEB3	1
CPEB4	1
CPED1	1
CPLX1	1
CPLX2	1
CPLX3	1
CPLX4	1
CPM	1
CPN1	1
CPN2	1
CPNE1	1
CPNE3	1
CPNE5	1
CPNE6	1
CPNE7	1
CPNE8	1
CPNE9	1
CPO	1
CPOX	1
CPPED1	1
CPQ	1
CPS1	1
CPSF1	1
CPSF2	1
CPSF3	1
CPSF3L	1
CPSF4	1
CPSF4L	1
CPSF6	1
CPSF7	1
CPT1A	1
CPT1B	1
CPT1C	1
CPT2	1
CPVL	1
CPXCR1	1
CPXM1	1
CPXM2	1
CPZ	1
CR1	1
CR1L	1
CR2	1
CRABP1	1
CRABP2	1
CRADD	1
CRAMP1L	1
CRAT	1
CRB1	1
CRB2	1
CRB3	1
CRBN	1
CRCP	1
CREB1	1
CREB3	1
CREB3L1	1
CREB3L2	1
CREB3L3	1
CREB3L4	1
CREB5	1
CREBBP	1
CREBL2	1
CREBRF	1
CREBZF	1
CREG1	1
CREG2	1
CRELD1	1
CRELD2	1
CREM	1
CRH	1
CRHBP	1
CRHR1	1
CRHR2	1
CRIM1	1
CRIP1	1
CRIP2	1
CRIP3	1
CRIPAK	1
CRIPT	1
CRISP1	1
CRISP2	1
CRISP3	1
CRISPLD1	1
CRISPLD2	1
CRK	1
CRKL	1
CRLF1	1
CRLF2	1
CRLF3	1
CRLS1	1
CRMP1	1
CRNKL1	1
CRNN	1
CROCC	1
CROT	1
CRP	1
CRTAC1	1
CRTAM	1
CRTAP	1
CRTC1	1
CRTC2	1
CRTC3	1
CRX	1
CRY1	1
CRY2	1
CRYAA	1
CRYAB	1
CRYBA1	1
CRYBA2	1
CRYBA4	1
CRYBB1	1
CRYBB2	1
CRYBB3	1
CRYGA	1
CRYGB	1
CRYGC	1
CRYGD	1
CRYGS	1
CRYL1	1
CRYM	1
CRYZ	1
CRYZL1	1
CS	1
CSAD	1
CSDC2	1
CSDE1	1
CSE1L	1
CSF1	1
CSF1R	1
CSF2	1
CSF2RA	1
CSF2RB	1
CSF3	1
CSF3R	1
CSGALNACT1	1
CSGALNACT2	1
CSH1	1
CSH2	1
CSHL1	1
CSK	1
CSMD2	1
CSMD3	1
CSN1S1	1
CSN2	1
CSN3	1
CSNK1A1	1
CSNK1A1L	1
CSNK1D	1
CSNK1E	1
CSNK1G1	1
CSNK1G2	1
CSNK1G3	1
CSNK2A1	1
CSNK2A2	1
CSNK2A3	1
CSNK2B	1
CSPG4	1
CSPG5	1
CSPP1	1
CSRNP1	1
CSRNP2	1
CSRNP3	1
CSRP1	1
CSRP2	1
CSRP2BP	1
CSRP3	1
CST1	1
CST11	1
CST2	1
CST3	1
CST4	1
CST5	1
CST6	1
CST7	1
CST8	1
CST9	1
CST9L	1
CSTA	1
CSTB	1
CSTF1	1
CSTF2	1
CSTF2T	1
CSTF3	1
CSTL1	1
CTAG1A	1
CTAG1B	1
CTAG2	1
CTAGE1	1
CTAGE4	1
CTAGE5	1
CTAGE6	1
CTAGE8	1
CTAGE9	1
CTBP1	1
CTBP2	1
CTBS	1
CTC1	1
CTCF	1
CTCFL	1
CTDNEP1	1
CTDP1	1
CTDSP1	1
CTDSP2	1
CTDSPL	1
CTDSPL2	1
CTF1	1
CTGF	1
CTH	1
CTHRC1	1
CTIF	1
CTLA4	1
CTNNA1	1
CTNNA2	1
CTNNA3	1
CTNNAL1	1
CTNNB1	1
CTNNBIP1	1
CTNNBL1	1
CTNND1	1
CTNND2	1
CTNS	1
CTPS1	1
CTPS2	1
CTR9	1
CTRB1	1
CTRB2	1
CTRC	1
CTRL	1
CTSA	1
CTSB	1
CTSC	1
CTSD	1
CTSE	1
CTSF	1
CTSG	1
CTSH	1
CTSK	1
CTSL	1
CTSO	1
CTSS	1
CTSV	1
CTSW	1
CTSZ	1
CTTN	1
CTTNBP2	1
CTTNBP2NL	1
CTU1	1
CTU2	1
CTXN1	1
CTXN2	1
CTXN3	1
CUBN	1
CUEDC2	1
CUL1	1
CUL2	1
CUL3	1
CUL4A	1
CUL4B	1
CUL5	1
CUL7	1
CUL9	1
CUTA	1
CUTC	1
CUX1	1
CUX2	1
CUZD1	1
CWC15	1
CWC22	1
CWC27	1
CWF19L1	1
CWF19L2	1
CWH43	1
CX3CL1	1
CX3CR1	1
CXADR	1
CXCL1	1
CXCL10	1
CXCL11	1
CXCL12	1
CXCL13	1
CXCL14	1
CXCL16	1
CXCL17	1
CXCL2	1
CXCL3	1
CXCL5	1
CXCL6	1
CXCL9	1
CXCR1	1
CXCR2	1
CXCR3	1
CXCR4	1
CXCR5	1
CXCR6	1
CXORF23	1
CXORF27	1
CXORF36	1
CXORF40A	1
CXORF57	1
CXORF61	1
CXORF66	1
CXXC1	1
CXXC11	1
CXXC4	1
CXXC5	1
CYB561	1
CYB561A3	1
CYB561D1	1
CYB561D2	1
CYB5A	1
CYB5B	1
CYB5D1	1
CYB5D2	1
CYB5R1	1
CYB5R2	1
CYB5R3	1
CYB5R4	1
CYB5RL	1
CYBA	1
CYBB	1
CYBRD1	1
CYC1	1
CYCS	1
CYFIP1	1
CYFIP2	1
CYGB	1
CYHR1	1
CYLC1	1
CYLC2	1
CYLD	1
CYP11A1	1
CYP11B1	1
CYP11B2	1
CYP17A1	1
CYP19A1	1
CYP1A1	1
CYP1A2	1
CYP1B1	1
CYP20A1	1
CYP21A2	1
CYP24A1	1
CYP26A1	1
CYP26B1	1
CYP26C1	1
CYP27A1	1
CYP27B1	1
CYP27C1	1
CYP2A13	1
CYP2A6	1
CYP2A7	1
CYP2B6	1
CYP2C18	1
CYP2C19	1
CYP2C8	1
CYP2C9	1
CYP2D6	1
CYP2E1	1
CYP2F1	1
CYP2J2	1
CYP2R1	1
CYP2S1	1
CYP2U1	1
CYP2W1	1
CYP39A1	1
CYP3A4	1
CYP3A43	1
CYP3A5	1
CYP3A7	1
CYP46A1	1
CYP4A11	1
